C_Nus,Coord_X,Coord_Y
N00327W,431563.47899999999,4581908.16600000020
N00328X,431578.95000000001,4581893.77500000037
N00329Y,431604.44199999998,4581870.35300000012
N00330R,431619.22200000001,4581859.44500000030
N00331S,431659.83100000001,4581831.06400000025
N00332T,431679.66899999999,4581817.38300000038
N00333U,431568.86800000002,4581954.22300000023
N00334V,431600.90000000002,4581938.42200000025
N00335W,431615.29100000003,4581953.43599999975
N00336X,431612.39700000000,4581928.60699999984
N00337Y,431774.99500000000,4582038.58700000029
N00338Z,431886.24400000001,4581924.78299999982
N00341U,431479.42400000000,4581861.85599999968
N00342V,431597.49900000001,4581980.88399999961
N00343W,431711.87699999998,4582102.13399999961
N00350V,431579.14799999999,4581771.49000000022
N00351W,431609.59000000003,4581810.42399999965
N00352X,431589.38099999999,4581827.29299999960
N00353Y,431639.98499999999,4581793.07899999991
N00354Z,431612.86499999999,4581751.92599999998
N00356B,431498.08899999998,4581843.36699999962
N00357C,431502.72899999999,4581838.49399999995
N00358D,431454.09499999997,4581800.03199999966
N00359E,431498.46200000000,4581762.25899999961
N00360X,431511.46600000001,4581753.30599999987
N00361Y,431569.34600000002,4581708.91600000020
N00362Z,431446.88000000000,4581753.24799999967
N00363A,431476.06500000000,4581734.54100000020
N00364B,431495.06900000002,4581726.58899999969
N00365C,431516.22100000002,4581716.74100000039
N00366D,431493.10700000002,4581667.75399999972
N00367E,431527.18699999998,4581739.65799999982
N00368F,431512.02899999998,4581663.40000000037
N00369G,431521.09499999997,4581684.93200000003
N00370Z,431379.20699999999,4581658.67599999998
N00371A,431451.52899999998,4581627.82299999986
N00372B,431472.84800000000,4581672.35599999968
N00373C,431483.74500000000,4581612.81500000041
N00374D,431498.27799999999,4581598.16000000015
N00377G,431548.82799999998,4581628.99199999962
N00378H,431570.61499999999,4581613.78699999955
N00379I,431550.65999999997,4581591.81199999992
N00380B,431536.38500000001,4581613.44500000030
N00381C,431560.56500000000,4581644.81900000013
N00382D,431590.96700000000,4581618.48699999973
N00401P,431425.28200000001,4581682.08000000007
N00402Q,431449.97899999999,4581676.45600000024
N00403R,431456.22499999998,4581704.01200000010
N00404S,431387.10700000002,4581691.64099999983
N00405T,431430.34200000000,4581738.05999999959
N00406U,431457.93199999997,4581764.41500000004
N00407V,431405.35499999998,4581762.84800000023
N00408W,431596.98999999999,4581759.92300000042
N00409X,431640.20600000001,4581736.87600000016
N00410Q,431532.62099999998,4581878.94699999969
N00411R,431438.30300000001,4581785.02400000021
N00412S,431431.23300000001,4581778.61000000034
N00414U,431423.88099999999,4581783.93200000003
N00415V,431373.69500000001,4581751.90199999977
N00416W,431395.88699999999,4581755.92200000025
N00417X,431387.40399999998,4581766.00499999989
N00481F,431522.03999999998,4581595.00499999989
N00482G,431518.90600000002,4581577.95700000040
N00483H,431507.56099999999,4581609.27199999988
N00531Y,431332.15999999997,4581706.55599999987
N00540Z,431369.17999999999,4581746.85599999968
N00542B,431346.65899999999,4581692.48000000045
N08665R,431580.01500000001,4581627.31300000008
N08666S,431596.88500000001,4581627.88300000038
N08667T,431586.60499999998,4581635.44299999997
N08986F,431406.84600000002,4581784.86500000022
N08987G,431413.83600000001,4581791.94500000030
N09694A,431714.68800000002,4581664.09900000039
N09695B,431722.24599999998,4581659.73799999990
N09701I,431670.97300000000,4581744.56500000041
N09702J,431684.05699999997,4581765.92999999970
N09703K,431504.98700000002,4581849.29600000009
N09704L,431650.73200000002,4581700.71999999974
N09705M,431665.66100000002,4581691.93900000025
N09706N,431658.92800000001,4581713.50200000033
N09720L,431587.12599999999,4581780.41500000004
N09721M,431603.53000000003,4581802.19199999981
N09905S,431611.62900000002,4581556.86699999962
N09906T,431620.79900000000,4581564.83200000040
N09913S,431502.21799999999,4581644.19900000002
N09924V,431606.28399999999,4581921.79499999993
N09925W,431476.91100000002,4581685.62899999972
N09926X,431429.38500000001,4581695.25700000022
N09927Y,431452.40299999999,4581689.33800000045
N10779Z,431599.80499999999,4581550.03899999987
N10780S,431594.26299999998,4581553.00200000033
N10918S,431588.42400000000,4581857.33399999980
